sku,produto_site,categoria,preco_venda_brl,custo_alvo_brl,margem_alvo,fornecedor,link_busca_fornecedor,busca_alternativa,status,observacoes,foto_url
MLA-MAN-FRESHGO-01,Liquidificador Portatil USB 380 ml,Casa,89.90,42.00,53%,Fornecedor externo,https://www.aliexpress.com/wholesale?SearchText=portable+usb+blender+380ml,https://www.aliexpress.com/wholesale?SearchText=portable+usb+blender+380ml,Para validar,Validar avaliacoes acima de 4.7 e envio com rastreio antes de comprar,
MLA-MAN-GLOWCARE-02,Escova Facial Eletrica de Silicone,Beleza,119.90,56.00,53%,Fornecedor externo,https://www.aliexpress.com/wholesale?SearchText=silicone+facial+cleansing+brush+electric,https://www.aliexpress.com/wholesale?SearchText=silicone+facial+cleansing+brush+electric,Para validar,Escolher anuncio com fotos reais do produto e variantes de cor claras,
MLA-MAN-FLOW-03,Garrafa Termica Inox 1L com Alca,Casa,79.90,37.00,54%,Fornecedor externo,https://www.aliexpress.com/wholesale?SearchText=1l+stainless+steel+vacuum+flask+with+handle,https://www.aliexpress.com/wholesale?SearchText=1l+stainless+steel+vacuum+flask+with+handle,Para validar,Conferir capacidade real de 1L e material inox antes do pedido,
MLA-MAN-FITBOX-04,Caixa Organizadora Dobravel com Tampa,Organizacao,64.90,29.00,55%,Fornecedor externo,https://www.aliexpress.com/wholesale?SearchText=foldable+storage+box+with+lid,https://www.aliexpress.com/wholesale?SearchText=foldable+storage+box+with+lid,Para validar,Validar medidas e custo de frete porque caixas podem variar muito,
MLA-MAN-AIRBEAT-05,Fone Bluetooth Sem Fio com Estojo,Tech,99.90,48.00,52%,Fornecedor externo,https://www.aliexpress.com/wholesale?SearchText=wireless+bluetooth+earbuds+charging+case+touch,https://www.aliexpress.com/wholesale?SearchText=wireless+bluetooth+earbuds+charging+case+touch,Para validar,Conferir compatibilidade bluetooth e comentarios sobre bateria,
MLA-MAN-MOONMIST-06,Umidificador de Ar USB com LED,Casa,74.90,34.00,55%,Fornecedor externo,https://www.aliexpress.com/wholesale?SearchText=mini+usb+humidifier+led,https://www.aliexpress.com/wholesale?SearchText=mini+usb+humidifier+led,Para validar,Escolher modelo USB e evitar anuncios que prometem aromaterapia sem suporte no produto,
MLA-MAN-MAGSTAND-07,Suporte Magnetico 360 para Celular,Tech,54.90,23.00,58%,Fornecedor externo,https://www.aliexpress.com/wholesale?SearchText=360+magnetic+phone+holder+car+desk,https://www.aliexpress.com/wholesale?SearchText=360+magnetic+phone+holder+car+desk,Para validar,Produto leve; validar se acompanha placa magnetica quando necessario,
MLA-MAN-PETFLOW-08,Fonte Bebedouro Automatico para Pets,Pets,149.90,72.00,52%,Fornecedor externo,https://www.aliexpress.com/wholesale?SearchText=automatic+pet+water+fountain+cat+dog,https://www.aliexpress.com/wholesale?SearchText=automatic+pet+water+fountain+cat+dog,Para validar,Conferir tomada USB/fonte e disponibilidade de filtros de reposicao,
MLA-AE-001-PROCESSADO,Processador de Alho Multifuncional Elétrico Portátil para Vegetais - Brasil,Brasil,69.30,34.65,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005012039080237.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000057356766722%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2052%2C50%21R%24%2034%2C65%21%21%2152.50%2134.65%21%402101e2b017817019652934475ef2cc%2112000057356766722%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005012039080237.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000057356766722%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2052%2C50%21R%24%2034%2C65%21%21%2152.50%2134.65%21%402101e2b017817019652934475ef2cc%2112000057356766722%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/Sc72532fa1e4b48b785b734946fecdc8ab.jpg_220x220q75.jpg_.webp
MLA-AE-002-MEIA-MEIAS,"meia,meias,meia cano alto,meia masculina,meia ciclismo masculino,meia masculina cano alto,meias esportivas,meia ciclismo",Brasil,45.42,22.71,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005009103161333.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000047923183693%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2030%2C99%21R%24%2022%2C71%21%21%2130.99%2122.71%21%402101e2b017817019652934475ef2cc%2112000047923183693%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000209547951&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005009103161333.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000047923183693%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2030%2C99%21R%24%2022%2C71%21%21%2130.99%2122.71%21%402101e2b017817019652934475ef2cc%2112000047923183693%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000209547951&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S2834e3fdc33e478d8fb8dcdfd42648acP.jpg_220x220q75.jpg_.webp
